Order_ID,Order_Date,City,Category,Distance_KM,Traffic_Level,Weather,Delivery_Partner,Order_Value,Preparation_Time,Expected_Delivery_Time,Actual_Delivery_Time,Delivery_Status,Delay_Minutes,Day_of_Week,Month
10027,2025-01-27,Hyderabad,Clothing,27.62,High,Clear,Partner C,4994.74,27,102.24000000000001,123.24000000000001,Delayed,21.0,Monday,January
10028,2025-01-28,Delhi,Clothing,9.12,Medium,Rainy,Partner B,3117.26,23,61.239999999999995,86.24,Delayed,25.0,Tuesday,January
10029,2025-01-29,Delhi,Electronics,25.89,Low,Clear,Partner B,2142.59,26,97.78,97.78,On Time,0.0,Wednesday,January
10030,2025-01-30,Bangalore,Clothing,9.47,Low,Rainy,Partner D,1280.99,9,47.94,63.94,Delayed,16.0,Thursday,January
10031,2025-01-31,Bangalore,Home & Kitchen,27.41,High,Clear,Partner D,1434.06,17,91.82,110.82,Delayed,19.0,Friday,January
10032,2025-02-01,Mumbai,Clothing,22.86,Low,Rainy,Partner B,2501.38,30,95.72,113.72,Delayed,18.0,Saturday,February
10033,2025-02-02,Hyderabad,Home & Kitchen,24.34,Medium,Clear,Partner D,1962.93,24,92.68,103.68,Delayed,11.0,Sunday,February
10034,2025-02-03,Hyderabad,Electronics,1.52,Medium,Clear,Partner B,4586.31,5,28.04,46.04,Delayed,18.0,Monday,February
10035,2025-02-04,Chennai,Grocery,28.92,Medium,Cloudy,Partner C,1967.82,20,97.84,119.84,Delayed,22.0,Tuesday,February
10036,2025-02-05,Chennai,Clothing,22.07,High,Clear,Partner A,1992.53,27,91.14,120.14,Delayed,29.0,Wednesday,February
10037,2025-02-06,Chennai,Grocery,9.84,Medium,Cloudy,Partner D,2040.97,28,67.68,80.68,Delayed,13.0,Thursday,February
10038,2025-02-07,Bangalore,Home & Kitchen,25.05,Medium,Clear,Partner A,4215.78,6,76.1,85.1,Delayed,9.0,Friday,February
10039,2025-02-08,Hyderabad,Clothing,9.16,Low,Cloudy,Partner B,3323.78,11,49.32,60.32,Delayed,11.0,Saturday,February
10040,2025-02-09,Hyderabad,Beauty,26.31,Medium,Clear,Partner B,3148.01,10,82.62,88.62,Delayed,6.0,Sunday,February
10041,2025-02-10,Delhi,Grocery,4.26,Low,Clear,Partner B,1803.89,9,37.519999999999996,39.519999999999996,Delayed,2.0,Monday,February
10042,2025-02-11,Bangalore,Clothing,21.41,Medium,Clear,Partner A,4125.94,8,70.82,89.82,Delayed,19.0,Tuesday,February
10043,2025-02-12,Pune,Grocery,16.68,High,Clear,Partner B,384.15,6,59.36,86.36,Delayed,27.0,Wednesday,February
10044,2025-02-13,Bangalore,Clothing,3.8,High,Clear,Partner D,4379.83,14,41.6,62.6,Delayed,21.0,Thursday,February
10045,2025-02-14,Pune,Electronics,8.01,Low,Clear,Partner C,2661.2,26,62.019999999999996,62.019999999999996,On Time,0.0,Friday,February
10046,2025-02-15,Delhi,Grocery,1.36,Medium,Clear,Partner C,2111.6,9,31.72,40.72,Delayed,9.0,Saturday,February
10047,2025-02-16,Mumbai,Beauty,14.59,High,Clear,Partner D,2586.4,22,71.18,90.18,Delayed,19.0,Sunday,February
10048,2025-02-17,Hyderabad,Beauty,9.74,Low,Cloudy,Partner C,3403.59,14,53.480000000000004,59.480000000000004,Delayed,6.0,Monday,February
10049,2025-02-18,Delhi,Home & Kitchen,18.35,Low,Rainy,Partner A,261.27,27,83.7,90.7,Delayed,7.0,Tuesday,February
10050,2025-02-19,Hyderabad,Clothing,9.62,Low,Clear,Partner B,4383.45,26,65.24,75.24,Delayed,10.0,Wednesday,February
10051,2025-02-20,Chennai,Grocery,9.7,Medium,Cloudy,Partner B,2344.35,19,58.4,74.4,Delayed,16.000000000000007,Thursday,February
10052,2025-02-21,Mumbai,Home & Kitchen,22.55,Low,Cloudy,Partner B,1846.24,13,78.1,81.1,Delayed,3.0,Friday,February
10053,2025-02-22,Mumbai,Grocery,2.4,High,Clear,Partner A,863.58,15,39.8,57.8,Delayed,18.0,Saturday,February
10054,2025-02-23,Delhi,Clothing,27.18,Medium,Cloudy,Partner A,2309.43,30,104.36,121.36,Delayed,17.0,Sunday,February
10055,2025-02-24,Mumbai,Beauty,25.72,Medium,Clear,Partner A,2582.35,25,96.44,114.44,Delayed,18.0,Monday,February
10056,2025-02-25,Pune,Electronics,20.37,Low,Cloudy,Partner D,2137.5,29,89.74000000000001,93.74000000000001,Delayed,4.0,Tuesday,February
10057,2025-02-26,Mumbai,Beauty,18.2,Medium,Clear,Partner A,3457.57,29,85.4,98.4,Delayed,13.0,Wednesday,February
10058,2025-02-27,Hyderabad,Home & Kitchen,26.88,Medium,Cloudy,Partner C,2220.3,21,94.75999999999999,106.75999999999999,Delayed,12.0,Thursday,February
10059,2025-02-28,Hyderabad,Electronics,6.37,High,Cloudy,Partner D,4814.8,25,57.74,88.74000000000001,Delayed,31.000000000000007,Friday,February
10060,2025-03-01,Hyderabad,Home & Kitchen,3.29,High,Clear,Partner D,3076.53,13,39.58,58.58,Delayed,19.0,Saturday,March
10061,2025-03-02,Hyderabad,Clothing,7.95,Medium,Clear,Partner D,4075.89,27,62.9,74.9,Delayed,12.000000000000007,Sunday,March
10062,2025-03-03,Pune,Electronics,24.04,High,Rainy,Partner A,724.91,20,88.08,121.08,Delayed,33.0,Monday,March
10063,2025-03-04,Bangalore,Home & Kitchen,2.01,High,Clear,Partner D,2107.0,10,34.019999999999996,61.019999999999996,Delayed,27.0,Tuesday,March
10064,2025-03-05,Chennai,Clothing,17.9,High,Cloudy,Partner A,1816.87,26,81.8,111.8,Delayed,30.0,Wednesday,March
10065,2025-03-06,Delhi,Beauty,29.87,Low,Rainy,Partner A,2933.52,15,94.74000000000001,108.74000000000001,Delayed,14.0,Thursday,March
10066,2025-03-07,Hyderabad,Clothing,25.82,Low,Cloudy,Partner D,4333.34,27,98.64,106.64,Delayed,8.0,Friday,March
10067,2025-03-08,Mumbai,Grocery,16.12,Low,Cloudy,Partner B,576.02,21,73.24000000000001,82.24000000000001,Delayed,9.0,Saturday,March
10068,2025-03-09,Hyderabad,Clothing,2.85,Medium,Cloudy,Partner B,548.36,8,33.7,50.7,Delayed,17.0,Sunday,March
10069,2025-03-10,Mumbai,Clothing,25.11,Medium,Rainy,Partner D,4281.52,19,89.22,107.22,Delayed,18.0,Monday,March
10070,2025-03-11,Chennai,Grocery,18.37,Medium,Clear,Partner B,1221.68,5,61.74,74.74000000000001,Delayed,13.000000000000007,Tuesday,March
10071,2025-03-12,Chennai,Home & Kitchen,4.33,High,Clear,Partner C,3410.02,26,54.66,71.66,Delayed,17.0,Wednesday,March
10072,2025-03-13,Chennai,Home & Kitchen,3.72,High,Clear,Partner C,2805.82,24,51.44,71.44,Delayed,20.0,Thursday,March
10073,2025-03-14,Mumbai,Clothing,27.38,High,Rainy,Partner A,4197.89,5,79.75999999999999,121.75999999999999,Delayed,42.0,Friday,March
10074,2025-03-15,Hyderabad,Grocery,20.41,Medium,Cloudy,Partner B,800.43,13,73.82,86.82,Delayed,13.0,Saturday,March
10075,2025-03-16,Chennai,Grocery,25.05,Medium,Clear,Partner C,822.96,16,86.1,92.1,Delayed,6.0,Sunday,March
10076,2025-03-17,Pune,Beauty,26.49,Low,Rainy,Partner D,2872.73,8,80.97999999999999,98.97999999999999,Delayed,18.0,Monday,March
10077,2025-03-18,Mumbai,Home & Kitchen,17.58,Low,Clear,Partner B,4742.62,26,81.16,88.16,Delayed,7.0,Tuesday,March
10078,2025-03-19,Mumbai,Electronics,16.01,Low,Clear,Partner C,2191.99,17,69.02000000000001,70.02000000000001,Delayed,1.0,Wednesday,March
10079,2025-03-20,Hyderabad,Home & Kitchen,13.48,Medium,Cloudy,Partner C,1769.32,11,57.96,73.96000000000001,Delayed,16.000000000000007,Thursday,March
10080,2025-03-21,Mumbai,Home & Kitchen,10.19,Medium,Clear,Partner D,3112.11,12,52.379999999999995,68.38,Delayed,16.0,Friday,March
10081,2025-03-22,Mumbai,Beauty,13.6,High,Rainy,Partner A,4666.15,17,64.2,100.2,Delayed,36.0,Saturday,March
10082,2025-03-23,Chennai,Electronics,23.44,Low,Clear,Partner D,4217.25,15,81.88,86.88,Delayed,5.0,Sunday,March
10083,2025-03-24,Hyderabad,Beauty,18.46,Medium,Rainy,Partner A,4978.32,13,69.92,86.92,Delayed,17.0,Monday,March
10084,2025-03-25,Chennai,Electronics,26.88,Medium,Cloudy,Partner C,308.33,29,102.75999999999999,117.75999999999999,Delayed,15.0,Tuesday,March
10085,2025-03-26,Chennai,Clothing,13.86,Low,Clear,Partner A,741.72,28,75.72,71.72,On Time,-4.0,Wednesday,March
10086,2025-03-27,Hyderabad,Electronics,18.61,Medium,Rainy,Partner C,3125.45,20,77.22,107.22,Delayed,30.0,Thursday,March
10087,2025-03-28,Delhi,Beauty,19.31,Low,Cloudy,Partner C,4138.77,14,72.62,70.62,On Time,-2.0,Friday,March
10088,2025-03-29,Chennai,Home & Kitchen,18.16,Medium,Clear,Partner B,1569.17,15,71.32,83.32,Delayed,12.0,Saturday,March
10089,2025-03-30,Pune,Electronics,21.38,Medium,Clear,Partner A,1348.21,16,78.75999999999999,84.75999999999999,Delayed,6.0,Sunday,March
10090,2025-03-31,Pune,Electronics,7.89,Low,Rainy,Partner A,3977.48,18,53.78,65.78,Delayed,12.0,Monday,March
10091,2025-04-01,Mumbai,Grocery,15.86,Low,Clear,Partner A,470.63,23,74.72,83.72,Delayed,9.0,Tuesday,April
10092,2025-04-02,Pune,Home & Kitchen,4.02,Medium,Clear,Partner D,1973.04,16,44.04,54.04,Delayed,10.0,Wednesday,April
10093,2025-04-03,Mumbai,Clothing,12.15,High,Clear,Partner B,2627.88,22,66.3,85.3,Delayed,19.0,Thursday,April
10094,2025-04-04,Delhi,Beauty,15.14,Medium,Clear,Partner B,2889.67,25,75.28,95.28,Delayed,20.0,Friday,April
10095,2025-04-05,Hyderabad,Clothing,19.91,Medium,Cloudy,Partner B,3697.35,21,80.82,95.82,Delayed,15.0,Saturday,April
10096,2025-04-06,Hyderabad,Home & Kitchen,28.57,Medium,Clear,Partner D,1903.26,7,84.14,91.14,Delayed,7.0,Sunday,April
10097,2025-04-07,Hyderabad,Electronics,18.42,High,Clear,Partner A,3140.88,5,61.84,91.84,Delayed,30.0,Monday,April
10098,2025-04-08,Pune,Electronics,22.56,High,Clear,Partner A,3009.8,23,88.12,115.12,Delayed,27.0,Tuesday,April
10099,2025-04-09,Delhi,Home & Kitchen,15.68,Medium,Clear,Partner A,2828.56,8,59.36,73.36,Delayed,14.0,Wednesday,April
10100,2025-04-10,Pune,Electronics,19.39,Medium,Rainy,Partner B,3274.32,27,85.78,116.78,Delayed,31.0,Thursday,April
10101,2025-04-11,Pune,Electronics,3.06,High,Clear,Partner B,1445.36,20,46.120000000000005,64.12,Delayed,18.0,Friday,April
10102,2025-04-12,Delhi,Electronics,8.38,Medium,Rainy,Partner C,606.31,16,52.760000000000005,75.76,Delayed,23.0,Saturday,April
10103,2025-04-13,Delhi,Beauty,11.49,Medium,Clear,Partner D,772.5,25,67.98,86.98,Delayed,19.0,Sunday,April
10104,2025-04-14,Delhi,Beauty,14.7,Low,Clear,Partner D,1278.0,25,74.4,84.4,Delayed,10.0,Monday,April
10105,2025-04-15,Delhi,Grocery,2.32,High,Rainy,Partner B,2600.95,17,41.64,74.64,Delayed,33.0,Tuesday,April
10106,2025-04-16,Hyderabad,Clothing,5.06,High,Clear,Partner C,4234.13,21,51.12,81.12,Delayed,30.000000000000007,Wednesday,April
10107,2025-04-17,Bangalore,Home & Kitchen,9.03,Low,Cloudy,Partner A,3566.21,12,50.06,60.06,Delayed,10.0,Thursday,April
10108,2025-04-18,Bangalore,Home & Kitchen,29.17,Medium,Rainy,Partner B,3987.39,17,95.34,123.34,Delayed,28.0,Friday,April
10109,2025-04-19,Delhi,Home & Kitchen,10.61,Medium,Clear,Partner D,1884.68,24,65.22,83.22,Delayed,18.0,Saturday,April
10110,2025-04-20,Bangalore,Grocery,14.98,Low,Clear,Partner D,2142.34,30,79.96000000000001,81.96000000000001,Delayed,2.0,Sunday,April
10111,2025-04-21,Bangalore,Beauty,6.69,High,Cloudy,Partner D,2089.67,9,42.38,61.379999999999995,Delayed,18.999999999999993,Monday,April
10112,2025-04-22,Delhi,Grocery,18.71,Low,Clear,Partner A,1120.99,22,79.42,84.42,Delayed,5.0,Tuesday,April
10113,2025-04-23,Bangalore,Home & Kitchen,9.14,Low,Clear,Partner D,493.84,19,57.28,63.28,Delayed,6.0,Wednesday,April
10114,2025-04-24,Pune,Clothing,7.0,Medium,Clear,Partner A,3036.4,16,50.0,56.0,Delayed,6.0,Thursday,April
10115,2025-04-25,Mumbai,Electronics,15.98,Medium,Clear,Partner A,4948.24,21,72.96000000000001,92.96000000000001,Delayed,20.0,Friday,April
10116,2025-04-26,Mumbai,Beauty,1.16,Low,Cloudy,Partner A,1000.78,29,51.32,52.32,Delayed,1.0,Saturday,April
10117,2025-04-27,Delhi,Beauty,1.22,Medium,Clear,Partner B,424.09,19,41.44,61.44,Delayed,20.0,Sunday,April
10118,2025-04-28,Hyderabad,Grocery,7.35,Medium,Clear,Partner A,3941.75,6,40.7,57.7,Delayed,17.0,Monday,April
10119,2025-04-29,Delhi,Beauty,2.06,Low,Cloudy,Partner C,1412.41,10,34.120000000000005,41.120000000000005,Delayed,7.0,Tuesday,April
10120,2025-04-30,Hyderabad,Home & Kitchen,4.13,Low,Clear,Partner D,4182.29,21,49.26,56.26,Delayed,7.0,Wednesday,April
10121,2025-05-01,Mumbai,Home & Kitchen,10.83,Medium,Clear,Partner B,3578.9,20,61.66,74.66,Delayed,13.0,Thursday,May
10122,2025-05-02,Delhi,Grocery,24.27,Low,Cloudy,Partner D,4739.23,21,89.53999999999999,96.53999999999999,Delayed,7.0,Friday,May
10123,2025-05-03,Chennai,Home & Kitchen,17.59,High,Clear,Partner A,2162.85,29,84.18,110.18,Delayed,26.0,Saturday,May
10124,2025-05-04,Pune,Clothing,15.87,High,Cloudy,Partner B,3377.46,24,75.74,101.74,Delayed,26.0,Sunday,May
10125,2025-05-05,Bangalore,Grocery,9.51,High,Rainy,Partner C,2431.3,13,52.019999999999996,91.02,Delayed,39.0,Monday,May
10126,2025-05-06,Hyderabad,Clothing,28.02,Low,Clear,Partner A,3226.83,9,85.03999999999999,92.03999999999999,Delayed,7.0,Tuesday,May
10127,2025-05-07,Chennai,Electronics,12.51,High,Cloudy,Partner D,2358.07,27,72.02,93.02,Delayed,21.0,Wednesday,May
10128,2025-05-08,Bangalore,Clothing,3.53,Medium,Clear,Partner C,1105.43,5,32.06,45.06,Delayed,13.0,Thursday,May
10129,2025-05-09,Bangalore,Electronics,18.89,Medium,Clear,Partner A,2637.91,10,67.78,86.78,Delayed,19.0,Friday,May
10130,2025-05-10,Delhi,Electronics,4.3,Low,Rainy,Partner C,2737.2,28,56.6,76.6,Delayed,19.999999999999993,Saturday,May
10131,2025-05-11,Bangalore,Clothing,11.01,Low,Rainy,Partner A,4090.9,18,60.019999999999996,69.02,Delayed,9.0,Sunday,May
10132,2025-05-12,Pune,Grocery,15.71,Medium,Clear,Partner B,3730.5,21,72.42,88.42,Delayed,16.0,Monday,May
10133,2025-05-13,Chennai,Home & Kitchen,26.35,Medium,Cloudy,Partner A,3386.2,29,101.7,113.7,Delayed,12.0,Tuesday,May
10134,2025-05-14,Bangalore,Home & Kitchen,15.31,Low,Rainy,Partner B,744.26,23,73.62,89.62,Delayed,16.0,Wednesday,May
10135,2025-05-15,Delhi,Electronics,21.37,Medium,Rainy,Partner A,3658.96,5,67.74000000000001,92.74000000000001,Delayed,25.0,Thursday,May
10136,2025-05-16,Pune,Electronics,29.79,Low,Cloudy,Partner A,2601.46,5,84.58,97.58,Delayed,13.0,Friday,May
10137,2025-05-17,Mumbai,Grocery,4.81,Medium,Clear,Partner D,4491.68,17,46.62,56.62,Delayed,10.0,Saturday,May
10138,2025-05-18,Chennai,Beauty,8.97,Medium,Clear,Partner C,4615.38,18,55.94,62.94,Delayed,7.0,Sunday,May
10139,2025-05-19,Bangalore,Clothing,12.44,High,Rainy,Partner C,464.75,10,54.879999999999995,90.88,Delayed,36.0,Monday,May
10140,2025-05-20,Delhi,Electronics,13.23,High,Clear,Partner C,4139.08,10,56.46,79.46000000000001,Delayed,23.000000000000007,Tuesday,May
10141,2025-05-21,Mumbai,Home & Kitchen,12.92,Medium,Cloudy,Partner A,380.95,5,50.84,63.84,Delayed,13.0,Wednesday,May
10142,2025-05-22,Mumbai,Grocery,27.32,Medium,Clear,Partner A,1962.41,18,92.64,100.64,Delayed,8.0,Thursday,May
10143,2025-05-23,Hyderabad,Clothing,21.71,Medium,Clear,Partner A,2803.04,7,70.42,90.42,Delayed,20.0,Friday,May
10144,2025-05-24,Pune,Grocery,18.63,High,Clear,Partner B,910.88,27,84.25999999999999,112.25999999999999,Delayed,28.0,Saturday,May
10145,2025-05-25,Bangalore,Clothing,9.97,Medium,Rainy,Partner B,3782.31,14,53.94,73.94,Delayed,20.0,Sunday,May
10146,2025-05-26,Delhi,Clothing,24.89,Low,Clear,Partner D,240.1,23,92.78,102.78,Delayed,10.0,Monday,May
10147,2025-05-27,Hyderabad,Electronics,28.7,Low,Cloudy,Partner A,1009.28,23,100.4,105.4,Delayed,5.0,Tuesday,May
10148,2025-05-28,Pune,Grocery,24.81,Medium,Clear,Partner C,2987.82,23,92.62,103.62,Delayed,11.0,Wednesday,May
10149,2025-05-29,Hyderabad,Grocery,1.05,Medium,Clear,Partner C,3629.06,27,49.1,54.1,Delayed,5.0,Thursday,May
10150,2025-05-30,Chennai,Home & Kitchen,19.46,High,Clear,Partner D,4599.89,8,66.92,96.92,Delayed,30.0,Friday,May
10151,2025-05-31,Pune,Home & Kitchen,2.48,Low,Cloudy,Partner C,3586.38,24,48.96,51.96,Delayed,3.0,Saturday,May
10152,2025-06-01,Pune,Electronics,8.47,Medium,Clear,Partner D,3424.54,23,59.94,71.94,Delayed,12.0,Sunday,June
10153,2025-06-02,Bangalore,Electronics,2.73,High,Clear,Partner A,2092.84,14,39.46,56.46,Delayed,17.0,Monday,June
10154,2025-06-03,Pune,Beauty,18.51,High,Clear,Partner C,206.17,29,86.02000000000001,114.02000000000001,Delayed,28.0,Tuesday,June
10155,2025-06-04,Hyderabad,Home & Kitchen,20.91,Medium,Clear,Partner A,776.76,6,67.82,80.82,Delayed,13.0,Wednesday,June
10156,2025-06-05,Pune,Clothing,4.32,Medium,Rainy,Partner B,2765.86,8,36.64,62.64,Delayed,26.0,Thursday,June
10157,2025-06-06,Bangalore,Grocery,12.13,Medium,Rainy,Partner C,3440.62,28,72.26,90.26,Delayed,18.0,Friday,June
10158,2025-06-07,Bangalore,Electronics,14.23,High,Clear,Partner B,2203.75,10,58.46,86.46000000000001,Delayed,28.000000000000007,Saturday,June
10159,2025-06-08,Chennai,Grocery,11.7,Low,Cloudy,Partner C,3707.26,11,54.4,57.4,Delayed,3.0,Sunday,June
10160,2025-06-09,Hyderabad,Grocery,4.51,High,Rainy,Partner A,2704.94,20,49.019999999999996,87.02,Delayed,38.0,Monday,June
10161,2025-06-10,Mumbai,Beauty,13.15,Medium,Clear,Partner D,556.05,11,57.3,62.3,Delayed,5.0,Tuesday,June
10162,2025-06-11,Mumbai,Home & Kitchen,22.78,Medium,Rainy,Partner A,1121.68,22,87.56,115.56,Delayed,28.0,Wednesday,June
10163,2025-06-12,Pune,Electronics,3.06,Low,Rainy,Partner A,4231.99,24,50.120000000000005,67.12,Delayed,17.0,Thursday,June
10164,2025-06-13,Chennai,Grocery,3.33,Medium,Clear,Partner A,3679.58,30,56.66,75.66,Delayed,19.0,Friday,June
10165,2025-06-14,Delhi,Electronics,11.29,Medium,Clear,Partner C,4494.86,30,72.58,78.58,Delayed,6.0,Saturday,June
10166,2025-06-15,Pune,Clothing,28.31,Low,Rainy,Partner D,764.27,26,102.62,124.62,Delayed,22.0,Sunday,June
10167,2025-06-16,Chennai,Beauty,20.39,Medium,Cloudy,Partner B,4953.07,23,83.78,106.78,Delayed,23.0,Monday,June
10168,2025-06-17,Hyderabad,Clothing,20.68,High,Clear,Partner A,1205.15,13,74.36,101.36,Delayed,27.0,Tuesday,June
10169,2025-06-18,Hyderabad,Electronics,11.5,Medium,Clear,Partner C,256.54,24,67.0,76.0,Delayed,9.0,Wednesday,June
10170,2025-06-19,Hyderabad,Electronics,18.22,Medium,Clear,Partner B,4987.63,14,70.44,75.44,Delayed,5.0,Thursday,June
10171,2025-06-20,Hyderabad,Home & Kitchen,1.29,Low,Cloudy,Partner A,1549.15,17,39.58,44.58,Delayed,5.0,Friday,June
10172,2025-06-21,Hyderabad,Grocery,19.45,Medium,Cloudy,Partner B,3406.49,22,80.9,88.9,Delayed,8.0,Saturday,June
10173,2025-06-22,Chennai,Grocery,27.49,Low,Rainy,Partner A,1048.08,20,94.97999999999999,113.97999999999999,Delayed,19.0,Sunday,June
10174,2025-06-23,Chennai,Clothing,18.76,Medium,Clear,Partner B,2985.1,26,83.52000000000001,96.52000000000001,Delayed,13.0,Monday,June
10175,2025-06-24,Bangalore,Beauty,26.34,High,Cloudy,Partner B,4539.37,21,93.68,120.68,Delayed,27.0,Tuesday,June
10176,2025-06-25,Mumbai,Grocery,22.0,Medium,Cloudy,Partner D,1736.87,26,90.0,108.0,Delayed,18.0,Wednesday,June
10177,2025-06-26,Hyderabad,Home & Kitchen,4.5,Low,Clear,Partner D,3417.22,17,46.0,43.0,On Time,-3.0,Thursday,June
10178,2025-06-27,Delhi,Clothing,27.17,Medium,Clear,Partner A,1101.94,16,90.34,110.34,Delayed,20.0,Friday,June
10179,2025-06-28,Chennai,Clothing,2.93,Medium,Rainy,Partner C,3199.02,14,39.86,67.86,Delayed,28.0,Saturday,June
10180,2025-06-29,Delhi,Home & Kitchen,16.49,Medium,Rainy,Partner D,1814.96,5,57.98,75.97999999999999,Delayed,17.999999999999993,Sunday,June
10181,2025-06-30,Delhi,Beauty,5.12,High,Clear,Partner B,1213.8,12,42.24,71.24000000000001,Delayed,29.000000000000007,Monday,June
10182,2025-07-01,Delhi,Home & Kitchen,1.34,High,Cloudy,Partner D,1703.27,25,47.68,65.68,Delayed,18.000000000000007,Tuesday,July
10183,2025-07-02,Bangalore,Beauty,13.24,Medium,Clear,Partner D,1058.44,26,72.48,85.48,Delayed,13.0,Wednesday,July
10184,2025-07-03,Chennai,Home & Kitchen,9.56,Medium,Cloudy,Partner A,4529.2,22,61.120000000000005,84.12,Delayed,23.0,Thursday,July
10185,2025-07-04,Delhi,Home & Kitchen,15.09,Low,Cloudy,Partner D,2106.5,6,56.18,68.18,Delayed,12.000000000000007,Friday,July
10186,2025-07-05,Hyderabad,Electronics,17.74,Low,Cloudy,Partner D,1377.34,20,75.47999999999999,76.47999999999999,Delayed,1.0,Saturday,July
10187,2025-07-06,Pune,Clothing,2.27,Medium,Rainy,Partner B,2352.36,16,40.54,68.53999999999999,Delayed,27.999999999999993,Sunday,July
10188,2025-07-07,Delhi,Home & Kitchen,4.57,Medium,Cloudy,Partner D,1738.57,13,42.14,50.14,Delayed,8.0,Monday,July
10189,2025-07-08,Bangalore,Home & Kitchen,17.2,Medium,Clear,Partner B,3773.21,7,61.4,66.4,Delayed,5.000000000000007,Tuesday,July
10190,2025-07-09,Chennai,Grocery,10.95,Medium,Cloudy,Partner D,4861.86,26,67.9,81.9,Delayed,14.0,Wednesday,July
10191,2025-07-10,Bangalore,Clothing,22.15,Low,Clear,Partner D,2302.56,30,94.3,104.3,Delayed,10.0,Thursday,July
10192,2025-07-11,Delhi,Grocery,19.92,Medium,Clear,Partner C,4332.96,25,84.84,90.84,Delayed,6.0,Friday,July
10193,2025-07-12,Chennai,Clothing,25.52,Low,Clear,Partner D,2916.14,8,79.03999999999999,80.03999999999999,Delayed,1.0,Saturday,July
